"","month_local","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD.y","Precip","PA_2M","Ta","SWC","ET","wtd","br","albedo","LST","G","G_corr","H","LE","LWin","LWout","SWout","Rn","PAR_SWin"
"1",1,1.46080577856617,1.3989042118367,0.94389560798625,4.4826078101496,1.39304755379811,8.03604500998046,0.0219982404093602,83.3391984602684,0.158773871456153,1.60078746704499,2.98094182100568,1.13452829679725,0.0107925000439816,5.64287575870257,0.0684125911345635,1.71763229400953,1.13710131026784,2.49396527360321,2.11887136233617,1.51968709839715,15.6118536414793,8.03948755695778,4.72867632740357,5.79866911342226,0.191508996200367
"2",2,0.972141207974622,0.91943100157452,0.631409075146162,4.32832146284959,1.11440213386842,3.45049449401688,0.019627606042851,15.8057900783226,0.53087049858295,1.55282666850209,0.256410853280143,3.26841818825331,0.00935554014698585,6.97879047084942,0.0541993051286645,1.62689965717429,1.49090911062197,3.58660402577286,1.97557787609852,2.2783567804876,10.5406176761286,7.6783926774739,3.92947200263719,4.52287089361948,0.182032212503695
"3",3,0.184533636905283,0.223584093696625,0.415874059604376,3.09745547995603,6.07312406633234,28.2159045189983,0.046500132527657,79.9446245847712,0.228254443808453,0.436110729985401,0.541557070327439,12.9887510513502,0.0230559887328962,14.4697134132393,0.00586354140915885,0.414923448803648,1.31921109331844,2.69882424891289,6.7399704314685,5.77008385996973,10.9779784562006,2.09061965197015,3.54628102726763,14.35080669397,0.198482805763338
"4",4,0.179846544115279,0.175719517116801,0.188733521448027,2.24345344377836,6.04438532458966,23.2458765489106,0.0510206229797174,50.9060703649378,0.234686485616862,0.226054646015244,2.13497124460923,15.864037816609,0.0338185828810093,4.59604032723631,0.0071628248061178,0.220094042023029,0.394710541784134,3.21451126002277,10.0174993236275,3.48095561607329,6.41942018647444,1.26398840173946,3.20980627017948,12.6153184198618,0.206164135321281
"5",5,0.630851838375773,0.564924971152948,0.179854546437565,1.5458080280575,3.23351477342272,18.5738328342874,0.0515140711900244,36.9466236617096,0.231489309824229,0.915160729900951,4.43312905614984,25.6511044180647,0.0376560371325037,4.50031471403041,0.00682328703814214,0.910631050712888,1.25416684006069,1.58811763218552,8.32910604622827,11.757992072174,3.73999307111519,4.92708894400828,2.93465509332621,11.8171779718138,0.211171990617474
"6",6,0.440636413043734,0.411991650156027,0.26529621780525,3.31437788724424,6.90167809678298,26.2755287374333,0.109723790031707,11.9232126543143,0.128710133566593,1.04909608412944,5.90528520036877,24.9290504767984,0.044907272451015,1.85705097357257,0.00575220204114712,1.04687811988393,1.40782924989685,2.88868285175052,8.52717771346289,12.1973955705244,6.09766552975989,6.10591113824238,3.22969780875288,17.3585811525412,0.212284277119335
"7",7,0.401590941510661,0.328848034024753,0.191301757389761,2.75333951000233,2.17694335354466,24.0478051056814,0.0892917506593037,17.6876227910932,0.0726524011470857,0.689972461226694,5.93879101684905,33.4550576591145,0.0625956288650813,3.00886215635605,0.00836091624746443,0.730045877136166,1.0916770308733,4.01941733427709,6.78277588750135,15.4441137628461,5.53148748078538,4.26856996576883,3.88559018203604,13.7879495270241,0.209654697394935
"8",8,0.370913473146897,0.309168484061814,0.139051538723891,1.45665477028576,4.40117886511889,12.4777430781482,0.0450637590808132,15.4444812149842,0.0597154107106606,0.33107439500178,4.6331451070414,21.1262412395933,0.0588696923838547,3.64440975377729,0.00735641119998879,0.337144103646138,1.16824991428851,4.70618925336214,3.96395298935694,9.634524647192,4.59605505607703,1.82202114155842,2.4121377650294,7.43379835906181,0.201852343296433
"9",9,0.638622602020286,0.63405894227931,0.340256118453236,2.45889151741588,1.63432270822179,7.09355333868924,0.0739275901240498,37.9685001020583,0.108018359708057,0.814866682348166,5.11422171265937,8.11510963098374,0.0328159607042321,17.5884073552254,0.0104853448120431,0.797537100474528,0.534361092104375,2.20406972101439,2.16360380473571,6.63127278377569,3.82568652304446,4.33847676887576,2.84278533956621,1.6645904926073,0.196551499463131
"10",10,0.768101563698866,0.779677103987623,0.505303230120907,0.850947613202353,2.43752732071476,13.2660897333044,0.0191899497295539,35.8026116365832,0.451756230170064,1.10511988807223,5.02856703494554,2.24142473780345,0.043486715005744,12.4344580461001,0.0121600154925473,1.04824986798509,1.00330107722181,4.12766714814998,7.68711710346121,1.44459020865808,8.75672044821604,5.27605605125948,2.44906525527352,7.38478373100376,0.19450458079386
"11",11,0.932685214260394,0.938981345887229,0.64598942675387,2.67580676290741,1.93824655895457,10.7191622684574,0.0269483935316556,50.0698312359848,0.367720071147993,1.44625197068007,3.2346080468891,2.74085299146482,0.0247655011103223,11.9506913539876,0.0126258666681417,1.32656166632234,1.06225652130582,2.04788022347675,6.10689271575615,1.50834824248404,8.18923126875549,6.51315925548713,1.75028756863607,7.0827596972367,0.190647790143795
"12",12,1.05256861395225,0.91802548834797,0.279267454935771,3.71772134622419,0.829785777904721,5.87273998093763,0.0257517704382083,30.3382102306646,0.346024642747691,2.0349941944121,1.49291425141995,1.29092865284831,0.0141153667642333,9.26597169219525,0.0601969806248709,2.01887194922278,1.95752725958928,3.80053803461222,4.07036169953494,1.32407417379209,15.8648901556031,9.58663052896953,4.55597198652874,4.24934121597632,0.181431474258263
