"","month_local","min_TS.5","max_TS.5","min_wtd","max_wtd","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD.y","Precip","PA_2M","Ta","SWC","ET","wtd","br","albedo","LST","G","G_corr","H","LE","LWin","LWout","SWout","Rn","PAR_SWin"
"1",1,2.2484311686828,5.78167075873656,0.0923353385827634,0.120517697354993,4.83094808308692,4.79251143467462,6.68572005353103,89.7302115010081,6.18282222410208,34.4409645732527,0.0878921987917844,180.08,101.554164528226,4.26481569052419,87.6265008502519,8.54943689890246,0.105458907360653,1.63786923043151,0.185271407597869,3.43017297606896,-2.4436232567707,4.28651364173893,-7.21353675946089,6.85578450550577,309.257577227751,328.0590736965,8.98362584231011,7.53267538498741,0.191508996200367
"2",2,3.47149493973214,5.92782710883621,0.0884684894355776,0.113353349019593,4.94819519379105,4.98861838226088,6.47457065028223,84.4116302524374,12.6372701502462,70.7021721266728,0.121726491588508,92.36,101.69201208672,2.92609624730347,88.7979280156667,15.7744451908513,0.0994742339307264,-6.19873847959717,0.219107544974494,3.10185905217878,-2.73780631433855,4.97158555510431,0.355188725902163,9.80854708278912,293.692557835801,325.93224910532,13.4099302568515,24.7733301420684,0.182032212503695
"3",3,7.38430946169355,7.78850165322581,0.0658245627053509,0.123844946673387,7.56237802325269,7.33354253548387,7.17991877620968,82.8227515020161,23.56904266064,121.109029764785,0.193470567593545,99.46,101.724000276882,6.30666858333333,88.5745002901613,38.4350281129454,0.089935303400053,5.97867542939073,0.14191728168608,7.09220188295575,1.71301108535466,16.012134054414,14.0986729298361,19.8686600825054,302.846452559023,345.171979665732,13.9331362133298,64.9999842435718,0.198482805763338
"4",4,11.3506077569444,11.7630210861111,0.0565093458300923,0.132277672743779,11.5382631708333,11.1596312802778,9.55260552,78.6978125791667,36.5646891240578,180.019711757917,0.312434988545782,83.06,101.735600105556,9.99987283875,87.3111939939,62.6783634594688,0.0878419472340999,0.383331156794373,0.136642092339045,11.5158016686369,4.50769245915325,22.1213253858591,32.559559493709,34.0747172775094,313.432945347222,367.454351166667,19.28232133125,106.715984409306,0.206164135321281
"5",5,14.7354559408602,16.3973951478495,0.0303002563891129,0.1230914921903,15.5961793239247,15.0947270981183,12.4496948978495,78.4973329879032,49.9443564105332,239.089976614516,0.422226355714807,49.14,101.649400435484,14.1946358407258,84.0897994948387,106.348015209002,0.0589180941418261,2.70431188697352,0.14426155416852,16.4484720333201,6.84234757917608,25.8978628792546,51.2400903782211,52.2401512695636,331.954383561828,393.740192231183,26.8195878852151,150.484580002957,0.211171990617474
"6",6,16.3859783888889,17.6054874097222,-0.022802985900116,0.0874135656510414,16.9399116847222,16.5336612263889,14.2346359861111,78.1754807916667,53.9499676397732,255.768576280556,0.496208117034335,33.76,101.653126236111,16.3432951105556,80.596687403851,113.156294327726,0.0147378565841875,-0.51599731744999,0.15936901958046,18.6495500809993,5.95216091764958,23.4666501908642,55.7129085255751,55.1336818044692,345.143211388889,405.989319,30.9468808633333,163.975587820556,0.212284277119335
"7",7,17.4476485349462,18.4107715524194,-0.135856981303763,0.0226039306248597,17.8003621384409,17.4515219798387,15.2682278293011,78.9676993830645,57.9311155847599,278.443793957661,0.544102705221467,15.18,101.776100860215,18.2109837388441,77.5727737689291,130.261967636795,-0.0592234489171485,0.0634706864061501,0.16937278571886,20.5317852582148,4.90571816203943,24.8362176645798,62.1727121823119,60.4483528663816,350.639300873656,416.65387375,35.9782191044355,176.45100197836,0.209654697394935
"8",8,17.2357290255376,18.1526575672043,-0.208747990120968,-0.0821090852105037,17.5459607311828,17.3275150752688,15.9240068998656,82.6555680033602,44.3002453224204,219.584476860215,0.460732769310955,22.42,101.623927594086,17.8253308326613,73.0455800228495,95.288214576975,-0.14440685523375,-0.535820492646877,0.165729804236384,19.5779049250277,1.99001607829234,20.3634016057186,48.0262680072295,44.4500633131771,355.134825293338,411.409947987597,28.8581149264074,134.094211128238,0.201852343296433
"9",9,14.5987471041667,16.07699275,-0.185354154164018,-0.109064538993056,15.4533129319444,15.3817555291667,15.3468125208333,86.3057151111111,28.0534072194515,144.371984171667,0.307520364204882,104.08,101.607223811111,14.9709335877778,73.7151806766667,42.1720238798012,-0.148378982726724,-0.135645726906274,0.162276514074124,16.0240433910663,-0.963406008124621,11.9935477479626,29.1466238832266,22.8247890567004,350.991687597222,391.78862277132,20.1770265843056,84.1495847575476,0.196551499463131
"10",10,10.2603604932796,12.1471265719086,-0.102553173073771,-0.00992672610025538,11.0943987763999,11.23113750626,12.9719682233757,87.8537741039665,15.9345261142179,85.159182099797,0.174258197114342,119.78,101.747520262068,9.62684036570865,78.2121762826294,19.0130475056966,-0.0656158239634908,-8.87955748525363,0.163233800002057,10.1189916812495,-3.91187052467343,7.66398679975786,11.1351121835657,11.4306920182531,327.060840419704,360.576728012402,11.6752415657104,39.6190495316833,0.19450458079386
