"","floor_date","min_TS.5","max_TS.5","min_wtd","max_wtd","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD.y","Precip","PA_2M","Ta","SWC","ET","wtd","br","albedo","LST","G","G_corr","month_local"
"1",2015-10-01,10.351579625,14.57583025,-0.199368626433507,0.0289249463090276,12.6183729089954,12.7589693030628,NA,88.8347582822366,15.4373950815708,76.9254883327757,0.183582279038654,119.7,101.508981139899,11.4066954532358,81.6127956604008,2.5723302421,-0.078575469579048,-2.85081295323852,0.153123263281624,12.0134746101545,-1.42516488814535,15.0669012125653,10
"2",2015-11-01,2.97080302083333,10.6248377291667,0.0163609519052082,0.0754127085399304,6.69807009652778,7.14014050902778,NA,88.1044975479167,8.79401996132515,47.826630575,0.113472257920788,147.4,101.743715277778,4.61317898958333,87.1853725566667,-0.165198036,0.0574040052743922,4.2100990247932,0.176977142882229,4.59437716313279,-7.40055245,5.01267470450425,11
"3",2015-12-01,3.00780195833333,8.30951604166667,0.0464552908777776,0.155929814587059,5.51051962921056,5.57319324803873,NA,89.0912914375,4.20414217607048,23.1852980255376,0.106212192525617,207.1,100.98967405914,4.90596058198925,88.8965683483871,-0.023371535,0.102384599101069,15.12201124,0.153244315834214,4.64561248633662,-3.06128529947985,6.29893058118001,12
"4",2016-01-01,2.16809670833333,8.77668458333333,0.0585462980130206,0.0897658959012151,4.77492203947224,4.79256058932686,6.44225973946179,92.1118985127688,6.23775214492164,32.6881534025538,0.0761164374605011,151,101.321801075269,4.32973936693548,88.0471679760081,0,0.0771811973223616,NA,0.180233056204123,4.32029941270139,-1.50157801712995,10.8026683135887,1
"5",2016-02-01,6.03185389583333,8.871351375,0.0516776181687498,0.104363894418229,7.6705267420977,7.49891694037356,7.63976849066092,87.4204120136494,11.9823706256422,60.8468223477011,0.140018556955466,138.1,101.850786637931,7.03656469324713,88.939956694181,1.9121797,0.0779105927534361,7.96453017309467,0.151196285713343,7.32219538533563,0.766159057231801,14.6393688917788,2
"6",2016-03-01,8.24708233333333,13.2284894583333,0.0634601725562498,0.113435393256597,10.0117244348118,9.75236613508065,8.98976471236559,79.8435802452957,22.2034061196986,112.267570374328,0.262653477460998,138.3,101.15001344086,8.78039758770161,88.817649009879,-0.234964,0.0879657067854109,-2.663653359375,0.138760356647684,9.47692366801345,2.7538241528557,17.6251055623367,3
"7",2016-04-01,12.2390917291667,17.392217125,0.0283764705862845,0.0779096751223956,14.5442161034722,14.1613335881944,11.6077452798611,76.7577595666667,40.1160387632046,202.052353658333,0.407559618818537,19.8,101.689315972222,12.4519573458333,84.26790193,16.901331,0.0548870716524882,-0.113338096594042,0.13564292060351,14.2576177086961,6.05767523425926,20.2326259712464,4
"8",2016-05-01,14.4636885416667,17.9343830416667,-0.0134457064644099,0.0442880891513887,16.2340232204301,15.862314983871,13.3633213797043,74.1470606149194,46.7951232586265,233.771561260753,0.523102883713294,31.5,101.573938172043,14.5592602379032,81.453727541129,93.9030401,0.00347452403242588,-2.09105959035191,0.14775918722054,16.563233166265,6.56509519892473,24.4801976461054,5
"9",2016-06-01,16.0455839583333,19.9152241666667,-0.0509760904833335,0.0243242250855901,17.8465856875,17.4622484166667,14.7865830902778,76.9302609652778,51.1712780961612,252.549059236111,0.496235900024283,42.9,101.725677083333,16.0421046756944,79.60066790625,85.3647664,-0.0186532371655731,3.00943025974475,0.163416653147905,18.3564139865556,7.3292191712963,24.3284018779502,6
"10",2016-07-01,17.9818325,20.7951320833333,-0.12581011061632,0.0191460619348956,19.2994239180108,18.9607970766129,16.1628840255376,78.2587732594086,51.5985646265881,254.330407161962,0.517545507618135,40,101.742432795699,17.9924617439516,74.3573876612903,43.8670647,-0.0600011475272515,-0.932916498929513,0.160551821481849,20.2292985475284,6.75905117159498,25.4409379259578,7
"11",2016-08-01,17.946278125,20.098765625,-0.211470072916667,-0.0859507038538196,18.8983925268817,18.723589375,16.767503077957,78.2345699327957,45.4781891358512,227.217087320565,0.581447037992465,11.2,101.558491263441,18.2269893823925,71.4431574395161,83.8413574,-0.158666981862063,5.10230124096636,0.166261072853023,19.8661040298731,3.7808864390009,21.6395987965471,8
"12",2016-09-01,13.03372625,17.5173947916667,-0.2078847625,-0.116024010416667,15.5714078680556,15.6891536388889,15.8266881527778,83.3642733819444,31.3500218327278,159.000358808333,0.330649817180556,55.9,101.784194444444,13.8351320451389,76.4510636319445,13.4966696,-0.160057096180556,-0.887788515042033,0.161069953029974,15.0422133723978,-1.25778934733333,13.6776608747917,9
"13",2016-10-01,9.98623691666667,13.8654510416667,-0.188682866666667,0.04654091875,11.6216583736559,11.8295636693548,13.1608299260753,87.3463283467742,12.6716411538623,64.9767223669355,0.188281821598253,182.5,100.958077956989,11.0375854939516,84.9744263709677,13.369061,-0.0873763215770699,-0.178822016706489,0.154437877740424,11.2359400465129,-2.59077698404345,10.1718813081647,10
"14",2016-11-01,6.501241,12.3065791666667,0.0167092486875,0.149376129166667,9.38439768819445,9.55415010972222,11.1170278416667,89.3482168263889,5.95471166297232,29.7297318319444,0.137704595142936,237.4,101.210420138889,9.41087254444444,82.6983080277778,0,0.08728623426875,NA,0.155115517958263,9.24075266549623,-3.04700757439375,6.04812259188819,11
"15",2016-12-01,1.6576105625,6.49689864583333,0.107779745833333,0.1564454625,3.26229447110215,3.69906642540323,7.6353590188172,87.4975479502688,5.70544897014302,32.9869266081989,0.079725070360215,153.1,101.901703629032,0.567529734543011,85.6158220698925,0,0.116903644905914,-2.11061,0.306421306678949,0.0651515014021786,-7.70236837002688,-4.09956544458333,12
