"","period","min_TS.5","max_TS.5","min_Ta","max_Ta","min_wtd","max_wtd","day_wtd","day_wtd2","wtmd","wtms","day_precip","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD","Precip","PA","Ta","SWC","ET","wtd","br","albedo","LST","G","G_corr"
"1","2016-2017",0.620578604166667,19.5386335416667,-6.06474622916667,22.3171102083333,-0.187403696101093,0.16870634047309,267,54,98,267,204,11.4196209422326,11.2654786321675,11.0746500627805,82.5622196999721,9776.41384109388,137.390890128053,0.295088906115708,1296.6,101.463062147819,10.302686128132,79.3446391004075,656.255574280772,0.0477544211359519,-1.52728118513768,0.185985364207164,11.2002484267841,1.36466012602866,15.5466036124306
"2","2017-2018",2.58097264583333,19.3375752083333,-2.55568808333333,23.2928102083333,-0.226982149917183,0.151494564638889,219,89,146,219,194,11.3682402061073,11.1638076090753,11.059038220976,83.7502834143836,9820.65467777382,141.323462151256,0.292444401474739,1198.9,101.747663864726,10.4892465784817,80.5265003815023,756.163056444998,0.00615665168238001,-0.543477373810531,0.1604276757768,11.6383267702385,0.863018564351425,14.7070837162257
"3","2018-2019",2.3737881875,18.616695,-4.57833033333333,22.5737979166667,-0.191514514411893,0.137055958014323,218,78,147,218,183,11.3636866888413,11.2294993923231,11.1892918671518,83.8468977434361,11296.5814953736,145.482384742466,0.272191073672168,1060.8,101.68534620976,10.439128590468,83.5380854773516,575.076405638541,-0.000595613980751407,3.0749128030425,0.174312421513911,11.4771190060317,0.253440882968872,13.3614353694757
"4","2019-2020",2.93221652083333,19.0041245833333,-7.45193622916667,22.6676747916667,-0.139160875,0.140459667690755,266,29,100,266,206,11.3389290636384,11.1999066321437,11.245028234745,85.3970032160747,10754.2155950778,140.393842810052,0.25066090027267,1168.9,101.769232385018,10.3299685131204,83.6667350437614,553.965079300833,0.0229105622594778,-2.17176926490132,0.159049613686175,11.4350719287354,0.32974630094384,13.3283489083202
"5","2020-2021",3.038751875,20.4230264583333,-2.0604100625,29.4387810416667,-0.227136025,0.134905277083333,236,84,129,236,193,11.4129945124429,11.3213818792808,11.3566446511986,85.4193974486301,10361.4971536046,145.059403970947,0.267351772010884,1113,101.775270153539,10.8486388130137,86.2173385839041,659.771480516252,-0.00100957008831142,-1.71847354114864,0.167665723415724,11.582317056757,0.358226988873888,12.7038384269154
