"","period","method","GPP_start_DER","GPP_end_DER","GPP_start_TRS","GPP_end_TRS","GPP_start_G","GPP_end_G","GPP_maturity","GPP_senescence","CUP_start","CUP_end","CUP_start_DER","CUP_end_DER","CUP_start_G","CUP_end_G","CUP_start_TRS","CUP_end_TRS","Reco_start","Reco_end","NEE_peak","GPP_peak","Reco_peak","CUP","CUP_DER","CUP_TRS","CUP_G","GSP_DER","GSP_TRS","GSP_G","senescence_maturity","summer_lag","autumn_lag","RGR"
"1","2016-2017","AG",128,247,69,299,58,311,183,194,82,236,111,218,32,273,41,265,117,311,171,186,215,154,107,224,241,119,230,253,11,13,63,0.843478260869565
"2","2017-2018","AG",128,232,72,292,65,305,174,187,84,218,113,199,44,NA,52,240,88,302,165,175,205,134,86,188,NA,104,220,240,13,12,74,0.972727272727273
"3","2018-2019","AG",126,242,79,305,67,315,177,189,110,240,127,219,89,272,95,261,69,318,161,188,216,130,92,166,183,116,226,248,12,31,65,1.10176991150442
"4","2019-2020","AG",132,241,83,306,77,320,173,187,91,243,123,225,52,272,60,264,103,339,177,174,176,152,102,204,220,109,223,243,14,8,63,1.05829596412556
"5","2020-2021","AG",134,239,80,259,72,NA,180,189,92,218,116,203,47,NA,54,242,96,261,168,187,202,126,87,188,NA,105,179,NA,9,12,41,0.921787709497207
