"","period","alpha","GPPmax","RMSE"
"1","2016-2017",0.0218680835027955,6.58193099813861,1.48823243798613
"2","2017-2018",0.0152780775995859,6.51978846792218,1.76462430907637
"3","2018-2019",0.0121824177311266,5.65192898372621,1.50202468162508
"4","2019-2020",0.0120473541072062,5.42889975692771,1.71095051805996
"5","2020-2021",0.0120368723938996,5.2826853074744,1.52967807964327
