month,T_avg,precip_avg
1,4.1,168.4
2,4.9,104.6
3,6.9,113.9
4,9.4,88.5
5,12.8,65
6,15.7,53.8
7,18,35.6
8,18,36.7
9,14.9,50.9
10,10.3,120.8
11,6.3,188.9
12,3.6,161.9
