"","period","min_TS.5","max_TS.5","min_wtd","max_wtd","day_wtd","day_wtd2","day_precip","TS.5","TS.10","TS.50","RH","PARin","SWin","VPD","Precip","PA","Ta","SWC","wtd"
"1","2015-2016",2.16809670833333,20.7951320833333,-0.21024869375,0.151525822916667,201,71,211,12.486400022059,12.3775748418013,12.4349053820971,82.7488404033809,10196.2914959206,140.38083769423,0.312209070395464,1102.9,101.549631656203,11.1983010848654,82.5695087372835,-0.0014257079617459
"2","2016-2017",0.620578604166667,19.5386335416667,-0.184964308333333,0.168706358333333,267,54,204,11.4196293525114,11.2654953898973,11.0746534119863,82.5626731969178,9741.18643050321,137.386190422203,0.295080816686641,1296.6,101.463062214612,10.3025411447489,79.3459354840183,0.0477629734626535
"3","2017-2018",2.58097264583333,19.3375752083333,-0.226078795833333,0.151494566666667,219,89,194,11.368240208105,11.1638076111301,11.0590382230023,83.7502834149543,9728.01962565469,141.319250964041,0.292444401814489,1198.9,101.74766386758,10.4892465785103,80.5265007488585,0.00618709902006279
"4","2018-2019",2.3737881875,18.616695,-0.191514514583333,0.137055958333333,218,78,183,11.363686688242,11.2294993923516,11.1892918682648,83.8468977460046,11031.0085347837,145.481647299543,0.27219107298176,1060.8,101.685346224315,10.4391285915525,83.5380864891552,-0.000595613873286986
"5","2019-2020",2.93221652083333,19.0041245833333,-0.139160872916667,0.1404596625,266,29,206,11.3389290664845,11.1999066349044,11.245028234745,85.3970032149362,10582.4812908392,140.391104308231,0.25066090123833,1168.9,101.769232385018,10.3299685131204,83.6667358469945,0.0229105629259751
"6","2020-2021",3.038751875,20.4230264583333,-0.226083472916667,0.13490526875,236,84,193,11.4129945027397,11.3213818929795,11.3566446894406,85.4193974486301,10349.8265124012,145.058647121632,0.267351771674752,1113,101.775270153539,10.8486388130137,86.2173387871005,-0.000838762077621119
